date,sentence
2022-01-28,"padre.    Una ragazzina che, malgrado tutto, riesce a capire che uscire dall'analfabetismo le servirà per diventare una donna libera e consapevole e che riuscirà a riscattarsi anche grazie all'aiuto di un'intelligente insegnante.    Nel film Precious"
2022-01-11,"il mio spazio e di riflettere perché mi sono rotta le scatole di tutte queste storie"".    Delia Duran entrerà nella casa da donna libera ?    Le preoccupazioni di Draghi per la Dad sono fasulle    Draghi ha ragione: la Dad crea diseguaglianze.    Ma se avesse"
2021-12-27,".    La data dell'8 marzo, Giornata Internazionale della Donna, non è stata scelta casualmente, perché Francesca è una donna libera , eroina anche dei nostri tempi.    Il primo, che va dal 1487 al 2021, prevede una selezione di trenta Divine Commedie, e"
2021-02-01,"antico.    Intanto due discepoli combattono per il suo amore, ma la nuova religione cristiana rigetta la figura della donna libera pensatrice.    Hunger Games - Il canto della rivolta: parte 2 [20 Mediaset, 21:04]: Katniss Everdeen ha accettato il suo"
2017-11-17,", onde permettere all'universalità di potersi esprimere il più liberamente possibile.    In un regime monogamico una donna libera può collaborare più facilmente, per il bene dell'umanità, con un uomo sposato.    Non a caso in un regime poligamico le"
2024-10-16,"di rispetto all'uomo che frequenta lontano dal reality show, ma la stessa Yulia ha sempre risposto di essere una donna libera esortando la compagna d'avventura a non intromettersi.    Pallone d'Oro 2024 in diretta Tv e streaming: ecco dove"
2022-03-11,"gli auguri durante l'8 marzo.    Elodie non si è scomposta più di tanto e ha risposto a tono: ""Non mi sento offesa.    Io sono una donna libera , mi piace il mio corpo mi piace mostrarlo.    Ho fatto la cubista tanti anni, sono abituata, me ne hanno dette di tutti i"
2020-11-07,"una famiglia.    Io ho già figli e nipoti.    Voglio solo essere libera e andare dove voglio con chi voglio.    Voglio essere una donna libera "", ha dichiarato a ""Page Six"".    Con quattro matrimoni terminati, quella di Ivana Trump è stata una vita privata davvero"
2018-11-19,"molto forte che, nonostante le batoste della vita, è riuscita ad affermarsi in campo professionale e personale.    Una donna libera , priva di tabù, che ha deciso di mettersi in gioco per scoprire fino a che punto poteva arrivare.    Nel corso di questi"
2025-01-28,"arrivare fino al quarto posto.    Conquista un altro importante riconoscimento nel 2015, il Premio Lunezia per l'album Donna Libera .    Due anni dopo torna al Festival di Sanremo cantando nella serata finale il brano Pace, insieme a Paolo Vallesi.    Nello"
2023-06-26,"il film A thousand and one.    Un'opera già premiata al Sundance Film Festival, che vede la Taylor nei panni di una donna libera e impenitente che rapisce il figlio di sei anni dal sistema di affidamento per recuperare il senso di una casa, identità"
2022-08-26,"con lo scenografo di una vita Roberto Francia; poi l'anno dopo al Festival di Spoleto la riscoperta di una donna libera e intraprendente come la ''Venexiana'' di anonimo cinquecentesco, riproposta più volte nel tempo e portata anche in"
2018-10-01,"tutta questa gente e tirar fuori il mio lato simpatico che mi accompagna da sempre nella vita"".    L'ultima perla di Lory da donna libera è proprio da lei: ""Chi ha una casa e ha degli amici, ha già molto.    Non ho mai avuto sconti dalla vita, sono preparata""."
2025-01-11,"fanno paura""    L'assessora regionale: ""Stessa visione di Vannacci""    ""Parole paternalistiche.    A quanto pare essere una donna libera e autonoma anche nella nostra società, e non solo in Iran, fa ancora paura"".    Lo ha affermato l'assessora regionale"
2015-02-06,"di autori internazionali ed italiani.    E' in gara tra le NUOVE PROPOSTE con ""CREDO"", contenuto nell'album d'esordio "" Donna libera "" (pubblicato da Isola degli Artisti), in uscita martedì 10 febbraio.    Scoperta daCarlo Avarello, produttore e"
2023-12-23,".    Io credo che sia una cosa molto personale e molto privata.    Lei è abituata a giudicare tantissimo.    Si considera una donna libera e questo sta venendo fuori da questa trasmissione, ma in realtà non è così libera, perché giudica continuamente.    Una"
2024-04-11,"Iris Knobloch ha detto: ""incarna l'anima del festival quello che siamo e quello che vogliamo diventare giovane donna libera piena di idee e di talento"".    Nelle Marche un modello di volontariato per aiutare gli Enti del Terzo settore"
2024-04-13,"storia erano donne che si dedicavano all'erboristeria, facevano le guaritrici e le levatrici.    La strega incarna la donna libera da ogni dominio, da ogni limitazione.    A partire dal Rinascimento, quando si è scatenata ""la grande caccia alle streghe"
2024-02-23,"20:30 ""Lo speed date di artifragili"" e ""Almenopausa"".    Venerdì 8 marzo alle ore 18 ""Euromediterranea"" e alle 20:30 ""A donna libera "".    Nel weekend di marzo, la protagonista sarà invece ""Angela Baraldi"" sabato 9 alle 21:00.    A conclusione di questa"
2021-09-15,"Ceresio.    In un percorso attraverso la storia del Risorgimento, Marina De Juli racconta, a 150 anni dalla sua morte, una donna libera che non ha mai avuto paura di esporsi, di parlare e prendere posizione, per cui fu indicata come ""scandalosa""."
2022-03-17,", e Mia, 6, nata dal matrimonio con Matthew McRae - ha scelto con coraggio di raccontare e condividere.    Il percorso di una donna libera che vuole essere anche un messaggio di sensibilizzazione per far conoscere una tecnica che permette di rimandare la"
2024-11-17,", ne commenta l'esistenza straordinaria che ha sfidato le convenzioni sociali del suo tempo vivendo e scrivendo da donna libera e controcorrente.    Dopo Alda Merini ci saranno altri quattro episodi, uno a settimana fino al prossimo 16 dicembre.    Il"
2019-11-04,"le donne del paese.    Grazie ad Isaac che ha costretto Antolina a ritirare la denuncia, Elsa può finalmente tornare una donna libera .    Consuelo, però, non è del tutto convinta della sconfitta della Ramos e teme che presto questa possa tornare in paese"
2018-11-08,"anni.    Come Vatican Insider apprende da fonti vicine alla famiglia della donna, Asia ha trascorso il primo giorno da donna libera , dopo oltre nove anni dietro e sbarre, ""ringraziando costantemente e ripetutamente Dio, che ha ascoltato le sue"
2024-03-15,", beve gin tonic durante Shabbat, non ama definirsi ebrea e soprattutto non vuole che le si dica chi deve essere.    Donna libera e intelligente, dalla vita sofferta, Rachele passa le sue giornate a raccontare la Terra Santa agli stranieri,"
2021-09-06,"e il coinvolgimento delle nostre coscienze"".    Nelle opere riproposte a San Gimignano il confronto tra la figura della donna libera e disinibita della società del benessere e quella della donna afghana coperta dal burka diventa una contrapposizione"
2020-02-01,non toglie che non sia altro che apprezzabile lo sforzo che la Senatrice Segre sta facendo per affermare le sue idee.    Da donna libera .    Non penso proprio che abbia bisogno di farsi pubblicità - aggiunge il vice presidente del Consiglio comunale
2019-02-07,"consentito, il colorante E120.    A causa del suo utilizzo, potrebbero manifestarsi allergie.    Annamaria Franzoni è una donna libera : ha terminato di scontare la sua pena    Annamaria Franzoni è una donna libera.    La mamma del piccolo Samuele Lorenzi,"
2024-10-25,"in una nota l'amministrazione comunale di Pontedera, città dove la donna viveva con il marito - Flavia era una donna libera che, come molte altre, ha pagato un prezzo troppo alto.    La sua morte è una ferita per l'intera comunità, colpisce la"
2014-04-06,"del libro di Torino e le presentazioni in oltre 40 città italiane, a New York e Madrid,""Ad Alta Quota.    Storia di una donna libera "" (Marsilio Editori), il libro della Presidente della Fondazione Marisa Bellisario Lella Golfo approda a Siena.    L'"
2022-07-25,"a partire da quelli privati.    Nel descrivere un personaggio inconsciamente stanco della propria routine di donna libera ed emancipata, Fishman ci suggerisce che le provocazioni un tempo funzionali a sentirsi bene con sé    Prendiamo per"
2020-09-04,"ma la giustizia, che l'ha condannata a 16 anni di carcere, non le ha mai creduto.    Dall'aprile dell'anno scorso è una donna libera , nel 2003 ha messo al mondo il terzo dei suoi figli.    Anche l'omicidio del piccolo Loris Stival, ritrovato in un canalone"
2021-01-26,"qualcuno.    Che non ero come il mio assassino.    Non ho raccolto quella pistola e in quel momento sono diventata quella donna libera e quella donna di pace con cui ho convissuto fino ad adesso.    Attraverso un comunicato, Asobo Studio ha dichiarato che l'"
2019-12-26,"Costa con la seguente motivazione: ""Ha cominciato fin da bambina a ribellarsi al fascismo e da staffetta partigiana e donna libera ha trascorso la sua vita all'insegna della Resistenza, contro i vecchi e nuovi fascismi e ogni forma di intolleranza,"
2024-01-24,"Images, Pordenone    Tina Modotti.    L'opera offre per la prima volta in Italia un racconto reale della vita di una donna libera , con una potenza comunicativa in cui, sin dalla prima sala della mostra, traspare una personalità autonoma,"
2020-09-26,"leggera quanto precisa nel ritrarre i sentimenti umani, raccontandoci le avventure tragicomiche di una giovane donna libera nelle azioni ma piena di limiti imposti dalle proprie debolezze; e per aver creato, tramite il tono della scrittura e"
2025-03-02,"mistiche medievali è un assoluto per Romana, che arriva a identificarsi con loro.    Come annoterà Luisa Muraro: ""Era una donna libera , e lo era grazie a Dio"".    Inter, quando esce Bastoni sono guai: le statistiche parlano chiaro, sostituirlo è sempre un"
2024-03-07,".    Argomenti, insomma, che hanno tanto a che vedere con la costruzione del sé e la maturazione.    La voce di una giovane donna libera si alza da Gaza, tormentata dai bombardamenti israeliani e dalla tirannia islamista, per raccontare la sua storia:"
2025-02-20,"l'autrice ""quindi apprezzo l'ingratitudine di Vanessa e la ringrazio, perché mi ha spesso dimenticata: è una donna libera , forse non è un caso che abbia interpretato così bene un personaggio libero come Imma"".    Immediata la controreplica"
2020-06-28,", io forse non avrei capito certe battaglie, non avrei occupato il tempo in cose davvero importanti e non sarei la stessa donna libera che sono oggi.    L'amore è amore e che AMORE!    GRAZIE"".    Funzionario fa sess* nell'auto dell'Onu/ Video scandalo, ""Siamo"
2022-03-01,"di vedere le loro figlie realizzate.    Una borsa di studio mi ha cambiato la vita.    E io oggi grazie all'istruzione sono una donna libera "".    Risuonano forte nel silenzio dell'aula magna le parole pronunciate dalla voce limpida di Rula Jebreal, ospite d'"
2021-12-02,"accesso alle varie applicazioni utilizzando una qualunque macchina fisica.    Britney Spears, primo compleanno da donna libera : festeggia 40 anni con gli stivali di Sailor Moon    Britney Spears si sta godendo la libertà, quella libertà per cui ha"
2023-12-02,"parlare più delle canzoni, e anche quella volta Elodie fu costretta a rispondere. ""Il mio corpo è il mio manifesto di donna libera "", replicò.    Il problema in fondo è sempre questo, sempre lo stesso.    Certe scelte non devono necessariamente piacere né"
2021-08-31,", l'aspetto più toccante è portare a galla una nuova immagine di Agnes: quello che prevale non è il carattere di una donna libera e fiera, ma di creatura bisognosa di aiuto, completamente dipendente dall'altro.    La produzione di immagini"
2021-10-01,"Joe Biden.    Angelina Jolie ha rivolto alla ragazza parole di grande stima, vedendo in lei un esempio da seguire: una donna libera , che ha fatto della parola un'arma per cercare di cambiare il mondo.    L'ha definita ""la voce più giovane ma più forte che"
